pagename,average word length,first revision,hidden users,length,page views,unique ip users,unique registered users,unique users,words,Pagerank pro 0.8,Pagerank pro 0.85,Pagerank pro 0.9,Pagerank links 0.8,Pagerank links 0.85,Pagerank links 0.9,firstRevisions,islist,lastRevisions,nbBacklinks,nbCategories,nbLinks,nbcontributors,nbcontributorsBot,nbcontributorsIP,nbcontributorsMembers,nbrevisions,nbrevisionsBot,nbrevisionsIP,nbrevisionsMembers,ns,pageid,quality
Matrix representation of conic sections,5.05555555556,2003-02-27T21:28:15Z,0,4687,69405,16,46,62,774,2.26548663341,2.1869787015,2.10633757524,1.04475393891,0.926193548366,0.811270903796,2003-02-27T21:28:15Z,0.0,2014-08-25T22:06:13Z,25,3,24,62.0,8.0,16.0,38.0,110.0,9.0,31.0,70.0,0,189243,3.0
Minkowski addition,6.21117608837,2004-03-04T11:12:23Z,0,11098,130124,24,56,80,1539,2.95051489957,2.9125737492,2.8719897382,1.37235957664,1.18367688265,0.978712690994,2004-03-04T11:12:23Z,0.0,2014-06-11T14:29:25Z,177,10,183,79.0,13.0,24.0,42.0,155.0,15.0,38.0,102.0,0,504105,3.0
Minkowski space,6.12265566392,2003-05-20T13:28:35Z,0,18989,970626,79,173,252,2666,4.06492361799,4.10848390311,4.15104115382,2.03628349118,1.94589176681,1.85338873416,2003-05-20T13:28:35Z,0.0,2014-08-27T13:58:57Z,587,12,217,239.0,22.0,73.0,144.0,447.0,27.0,84.0,336.0,0,230488,4.0
Minkowski's theorem,5.37292464879,2001-12-05T18:07:47Z,0,4990,57684,10,41,51,783,2.55082757212,2.49079358764,2.42863316089,1.37303234078,1.21520715766,1.04651879519,2001-12-05T18:07:47Z,0.0,2013-04-02T06:09:50Z,48,5,40,48.0,7.0,9.0,32.0,72.0,10.0,11.0,51.0,0,53455,3.0
Mirror image,5.1017699115,2002-11-17T12:45:58Z,0,6895,662786,76,115,191,1130,3.251159098,3.24356090277,3.23511497118,1.88619736582,1.80445017759,1.71893578954,2002-11-17T12:45:58Z,0.0,2014-08-15T12:24:56Z,189,3,40,190.0,18.0,76.0,96.0,322.0,28.0,134.0,160.0,0,148234,2.0
Möbius transformation,5.54268022999,2003-09-08T16:53:09Z,0,44379,429881,72,144,216,6783,4.12844400853,4.1681099683,4.20548953116,4.25468524918,4.33338433504,4.40875208005,2003-09-08T16:53:09Z,0.0,2014-08-27T20:53:51Z,256,9,178,210.0,18.0,69.0,123.0,542.0,31.0,115.0,396.0,0,314493,4.0
Monge's theorem,5.3683127572,2007-12-05T17:40:39Z,0,3095,36377,6,21,27,486,1.81104568765,1.70995621011,1.60761340521,1.06458365917,0.920024816878,0.774436630309,2007-12-05T17:40:39Z,0.0,2013-09-24T10:52:39Z,30,4,13,27.0,4.0,6.0,17.0,65.0,4.0,10.0,51.0,0,14573037,2.0
Mrs. Miniver's problem,5.35509138381,2002-07-14T11:48:08Z,0,2434,28134,4,21,25,383,1.72926834784,1.61887542345,1.50663312525,0.683950376697,0.516058760695,0.34762796713,2002-07-14T11:48:08Z,,2013-12-21T04:25:44Z,14,2,14,25.0,4.0,4.0,17.0,36.0,4.0,7.0,25.0,0,62047,
Napkin ring problem,5.13382899628,2009-02-24T22:56:44Z,0,4950,48976,3,18,21,807,1.28930213396,1.15488073789,1.01918331347,1.0847360827,0.936320167966,0.783561030403,2009-02-24T22:56:44Z,0.0,2013-02-17T14:37:29Z,19,5,23,19.0,,3.0,16.0,91.0,,4.0,87.0,0,21693427,0.0
Nine-point circle,5.51536643026,2002-12-24T06:16:13Z,0,11024,263849,57,109,166,1692,3.53357777931,3.54387401603,3.55337373912,3.94151825458,4.13411622867,4.35892306268,2002-12-24T06:16:13Z,0.0,2014-07-14T06:01:47Z,96,2,59,159.0,18.0,56.0,85.0,287.0,21.0,86.0,180.0,0,161243,3.0
Noncommutative geometry,6.45887691435,2003-08-13T23:17:16Z,0,13150,183692,40,84,124,1763,3.06047406048,3.02813062444,2.99299112521,1.16470444482,0.970047491137,0.767894554883,2003-08-13T23:17:16Z,0.0,2014-08-23T05:54:42Z,250,3,85,120.0,10.0,39.0,71.0,215.0,11.0,52.0,152.0,0,295917,2.0
Non-Euclidean geometry,5.91627826687,2002-02-25T15:51:15Z,0,40066,1556333,247,285,532,5793,5.6668901816,5.83239179105,6.00009318441,6.75953226164,7.0923762396,7.43304891512,2001-11-01T01:47:48Z,0.0,2014-08-27T13:59:31Z,607,1,365,520.0,37.0,238.0,245.0,897.0,64.0,355.0,478.0,0,58610,4.0
Non-uniform rational B-spline,5.27746741155,2003-08-31T10:31:01Z,0,26968,519600,161,157,318,4296,2.98810191453,2.96040461399,2.93135433458,2.03757430427,1.88693124801,1.70678691939,2003-08-31T10:31:01Z,0.0,2014-08-19T04:54:40Z,141,7,77,313.0,21.0,160.0,132.0,499.0,28.0,216.0,255.0,0,308474,2.0
Normal (geometry),4.91572327044,2003-01-23T07:59:01Z,0,9406,380879,44,91,135,1590,3.30863753334,3.30853182822,3.30808386207,4.43467358127,4.56716492772,4.70409635454,2003-01-23T07:59:01Z,0.0,2014-07-16T01:13:56Z,127,3,74,132.0,25.0,41.0,66.0,214.0,30.0,57.0,127.0,0,173224,3.0
N-sphere,5.75737560546,2002-02-19T10:34:47Z,0,15346,598338,113,154,267,2271,3.87781043537,3.90847027302,3.93799832091,1.98612548411,1.88491132576,1.77748524584,2002-02-19T10:34:47Z,0.0,2014-07-29T21:27:49Z,256,3,114,258.0,15.0,105.0,138.0,615.0,19.0,169.0,427.0,0,39782,0.0
Ordered geometry,5.41666666667,2007-12-07T04:43:35Z,0,5005,36746,3,19,22,780,1.77157833241,1.664511743,1.55572942458,1.41147430986,1.31439836696,1.2199152261,2007-12-07T04:43:35Z,0.0,2014-07-02T06:39:29Z,41,1,33,21.0,3.0,3.0,15.0,43.0,3.0,4.0,36.0,0,14597235,2.0
Orthocentric system,5.35098915124,2002-12-24T08:10:57Z,0,9952,36850,8,32,40,1567,2.38380907103,2.31382716447,2.24192836322,1.88134098426,1.86189368833,1.85815431178,2002-12-24T08:10:57Z,0.0,2013-09-04T18:57:38Z,25,2,32,38.0,5.0,8.0,25.0,74.0,5.0,9.0,60.0,0,161263,0.0
Orthodiagonal quadrilateral,5.69786293294,2011-01-11T19:38:22Z,0,9089,23342,3,13,16,1357,1.55308027752,1.43355876207,1.31256855093,1.92679511383,1.85268954374,1.78221333772,2011-01-11T19:38:22Z,0.0,2014-04-16T09:10:23Z,32,1,48,15.0,4.0,3.0,8.0,64.0,5.0,3.0,56.0,0,30425383,2.0
Oval (projective plane),5.24746237312,2006-03-02T23:08:41Z,0,17849,23259,4,26,30,2857,1.86686404049,1.76427827682,1.65977072902,0.758622016292,0.574943318497,0.387408799725,2006-03-02T23:08:41Z,0.0,2014-05-23T22:23:42Z,33,4,17,29.0,5.0,4.0,20.0,56.0,6.0,4.0,46.0,0,4255174,2.0
Pappus's centroid theorem,5.36923076923,2004-03-07T01:46:17Z,0,1656,170878,27,47,74,260,2.41191475652,2.34713917598,2.28088675067,0.798975583166,0.636408512946,0.471775478218,2004-03-07T01:46:17Z,0.0,2014-06-28T16:57:39Z,39,5,16,73.0,16.0,26.0,31.0,103.0,18.0,41.0,44.0,0,509331,2.0
Pappus's hexagon theorem,4.89167686659,2005-02-11T10:12:39Z,0,9627,85323,17,48,65,1634,2.98463786021,2.95321643353,2.9198047705,2.16208421625,2.12904787622,2.09851562977,2005-02-11T10:12:39Z,0.0,2014-08-16T05:07:04Z,49,3,34,63.0,10.0,15.0,38.0,136.0,13.0,25.0,98.0,0,1493395,3.0
Parabola,5.28253375467,2001-04-21T00:58:12Z,0,43739,4655768,528,487,1015,6962,6.99378596619,7.28691741824,7.58920703083,5.97521476448,6.13870378584,6.29502395168,2001-04-21T00:58:12Z,0.0,2014-08-02T19:12:12Z,759,6,163,985.0,48.0,508.0,429.0,2222.0,97.0,809.0,1316.0,0,23231,3.0
Parabolic geometry (differential geometry),5.26963350785,2011-01-21T13:16:19Z,0,2395,6855,1,3,4,382,0.780275848228,0.61861355789,0.456426379969,0.660065968987,0.49504940398,0.330033071805,2011-01-21T13:16:19Z,0.0,2013-12-14T00:00:17Z,12,2,19,4.0,1.0,1.0,2.0,7.0,1.0,2.0,4.0,0,30556018,2.0
Parabolic microphone,5.28937728938,2003-01-17T14:45:13Z,0,1717,186419,13,36,49,273,1.4633248793,1.34060415439,1.21678272262,1.02338136639,0.862220418639,0.695967581123,2003-01-17T14:45:13Z,0.0,2014-07-16T15:20:50Z,36,7,22,47.0,8.0,12.0,27.0,63.0,9.0,17.0,37.0,0,170175,1.0
Parabolic reflector,5.32003395586,2003-03-06T19:40:29Z,0,14890,758654,89,117,206,2356,2.65143089928,2.60179466568,2.55078682676,1.98481907137,1.76229176577,1.51620036922,2003-03-06T19:40:29Z,0.0,2014-08-17T12:12:47Z,230,4,83,200.0,11.0,85.0,104.0,364.0,19.0,116.0,229.0,0,192590,2.0
Paraboloid,5.33240740741,2002-11-10T14:02:27Z,0,6839,659661,70,111,181,1080,3.48011218011,3.48398112692,3.48649104126,3.41214635409,3.33578838035,3.23943188414,2002-11-10T14:02:27Z,0.0,2014-07-21T22:13:49Z,164,7,51,176.0,20.0,68.0,88.0,273.0,26.0,85.0,162.0,0,145845,2.0
Parallelepiped,6.44247038917,2001-09-14T21:10:42Z,0,8797,733313,59,104,163,1182,3.74191673473,3.76710970886,3.79164819606,2.61743343435,2.47010402381,2.29812739417,2001-09-14T21:10:42Z,0.0,2014-07-17T12:40:30Z,171,4,110,160.0,24.0,58.0,78.0,296.0,35.0,79.0,182.0,0,23975,2.0
Parallel (geometry),5.42436412316,2004-05-19T01:59:57Z,0,14397,1070006,144,163,307,2241,4.24434896559,4.31578839198,4.3890317902,7.35643180087,7.76471290737,8.18961579353,2004-05-19T01:59:57Z,0.0,2014-08-02T12:00:49Z,512,2,61,298.0,36.0,140.0,122.0,459.0,58.0,190.0,211.0,0,664497,3.0
Parallelogram law,5.48229342327,2003-11-11T00:52:18Z,0,3844,298608,36,57,93,593,2.62751081027,2.57627665997,2.52355169505,1.358044683,1.2591315899,1.16395601071,2003-11-11T00:52:18Z,0.0,2014-07-24T19:00:09Z,66,4,24,89.0,11.0,33.0,45.0,165.0,15.0,39.0,111.0,0,362953,4.0
Parallel postulate,5.61720510894,2003-06-11T17:00:01Z,0,17615,548509,90,144,234,2662,4.23816358671,4.2970161885,4.35566855595,3.856417723,4.01185918599,4.18329006061,2003-06-11T17:00:01Z,0.0,2014-07-16T03:08:05Z,187,4,72,225.0,29.0,86.0,110.0,382.0,43.0,128.0,211.0,0,33731493,3.0
Parametric equation,5.98244147157,2004-04-04T18:06:32Z,0,8351,1223541,88,128,216,1196,3.47396498546,3.48219880834,3.48990503699,2.95007275417,2.94976867735,2.94601079077,2004-04-04T18:06:32Z,0.0,2014-08-17T12:48:11Z,192,5,49,212.0,27.0,87.0,98.0,351.0,31.0,135.0,185.0,0,576108,2.0
Parametric surface,5.38142857143,2005-12-12T23:38:13Z,0,8934,213322,29,34,63,1400,1.76497013308,1.65720633231,1.54767325148,1.08681956772,0.943855615333,0.798017950729,2005-12-12T23:38:13Z,0.0,2014-06-04T03:34:00Z,52,1,48,63.0,5.0,29.0,29.0,108.0,6.0,41.0,61.0,0,3400953,0.0
Pascal's theorem,5.33812260536,2004-06-03T00:47:34Z,0,13234,171622,30,85,115,2088,3.98866366595,4.01461403817,4.03776904568,1.94713054225,1.89713947475,1.85085949488,2004-06-03T00:47:34Z,0.0,2014-06-26T13:55:33Z,79,5,60,107.0,24.0,29.0,54.0,235.0,29.0,54.0,152.0,0,699966,4.0
Pattern,6.27470930233,2002-08-06T16:56:24Z,0,15015,1729226,216,252,468,2064,4.36485651881,4.44995146245,4.53766575083,1.45742227323,1.35626038536,1.2501955498,2002-08-06T16:56:24Z,0.0,2014-08-08T04:52:23Z,561,4,246,462.0,30.0,214.0,218.0,865.0,58.0,344.0,463.0,0,68351,2.0
Pedal triangle,4.18544194107,2002-11-29T15:45:55Z,0,2992,38058,10,27,37,577,1.79728050716,1.69483758509,1.59109174274,1.14769127686,1.0398493614,0.937430828344,2002-11-29T15:45:55Z,0.0,2014-07-24T15:09:11Z,18,1,15,35.0,6.0,10.0,19.0,57.0,8.0,16.0,33.0,0,152983,0.0
Pedoe's inequality,5.29813664596,2004-04-16T22:40:22Z,0,1014,27997,4,25,29,161,2.29584169574,2.22151586786,2.14532343671,0.884270353708,0.73994754348,0.596655823756,2004-04-16T22:40:22Z,0.0,2013-02-26T16:01:50Z,22,2,9,29.0,9.0,4.0,16.0,55.0,10.0,5.0,40.0,0,601060,2.0
Penrose tiling,5.6378939127,2002-03-26T07:02:33Z,0,33913,709482,107,195,302,5109,4.34759538621,4.40902728587,4.46948688477,2.15723295696,2.03611864708,1.90030946396,2002-03-26T07:02:33Z,0.0,2014-08-19T15:04:01Z,334,8,265,293.0,22.0,104.0,167.0,655.0,34.0,166.0,455.0,0,26611936,5.0
Pi,5.72707785248,2002-02-01T12:26:39Z,0,69040,23309406,1081,1799,2880,10263,10.5894319713,11.2111615017,11.8591338396,3.48647264764,3.5853239242,3.69642418809,2001-11-11T21:01:15Z,0.0,2014-08-31T03:39:19Z,3250,12,392,2848.0,87.0,1081.0,1680.0,8157.0,271.0,1734.0,6152.0,0,23601,7.0
Pick's theorem,5.12805755396,2003-09-27T02:34:23Z,0,4259,239797,52,91,143,695,3.16867791116,3.1543795485,3.13896196894,1.905298559,1.75991968717,1.59987993538,2003-09-27T02:34:23Z,0.0,2014-07-01T16:30:06Z,69,8,24,138.0,17.0,50.0,71.0,252.0,18.0,76.0,158.0,0,328252,2.0
Plane at infinity,5.3252688172,2003-12-15T20:05:34Z,0,4706,35641,2,15,17,744,1.61264371127,1.496475772,1.37869920582,1.31225096993,1.19415996596,1.07769388705,2003-12-15T20:05:34Z,0.0,2014-06-18T17:29:41Z,19,3,19,17.0,3.0,2.0,12.0,39.0,3.0,2.0,34.0,0,403143,2.0
Platonic solid,5.62190265487,2002-02-04T09:18:35Z,0,29931,2136555,371,367,738,4520,6.44993176684,6.68849050999,6.93292031065,3.83313791826,3.82196414284,3.79509432241,2001-09-20T02:07:35Z,0.0,2014-08-16T19:03:43Z,648,4,242,726.0,37.0,364.0,325.0,1450.0,95.0,640.0,715.0,0,23905,4.0
Point at infinity,5.56539509537,2003-12-15T20:02:56Z,0,4819,100954,7,42,49,734,2.18304386362,2.10495432839,2.02551763505,3.29760881141,3.30734439194,3.31481429748,2003-12-15T20:02:56Z,0.0,2013-12-14T01:52:14Z,119,3,50,48.0,10.0,7.0,31.0,68.0,11.0,11.0,46.0,0,403139,2.0
Point (geometry),5.9153024911,2004-04-13T07:54:48Z,0,9716,758876,120,174,294,1405,4.81044640765,4.9229292199,5.03784790635,6.84593617916,7.1738390252,7.50865135342,2004-04-13T07:54:48Z,0.0,2014-07-26T12:53:25Z,471,3,184,290.0,32.0,118.0,140.0,433.0,53.0,156.0,224.0,0,593693,3.0
Point group,9.73255269321,2004-11-06T18:08:13Z,0,22914,296941,21,51,72,2135,2.13497551158,2.04765982926,1.95809616707,1.94175657816,1.85857363977,1.77038554102,2004-11-06T18:08:13Z,0.0,2014-06-28T03:30:06Z,329,3,109,70.0,7.0,21.0,42.0,243.0,9.0,112.0,122.0,0,1138942,2.0
Point groups in three dimensions,4.99142312579,2005-09-17T09:09:53Z,0,37722,179299,15,57,72,6296,2.64795660041,2.59405747056,2.53803445958,2.31458526105,2.22830334678,2.13159085251,2005-09-17T09:09:53Z,0.0,2014-05-09T23:33:58Z,235,4,144,70.0,8.0,15.0,47.0,328.0,12.0,19.0,297.0,0,2694525,3.0
Point groups in two dimensions,5.11801242236,2005-10-30T18:43:00Z,0,10835,31121,2,19,21,1771,1.73913058825,1.62836990785,1.51565810665,0.83430664381,0.672705238685,0.509551435243,2005-10-30T18:43:00Z,0.0,2014-05-05T11:59:23Z,26,4,52,21.0,4.0,2.0,15.0,62.0,4.0,2.0,56.0,0,3037988,0.0
Point in polygon,5.36886632826,2004-03-04T16:15:47Z,0,7528,461302,37,60,97,1182,2.44496553205,2.37580435351,2.30422988534,1.2798771495,1.12065719441,0.953849521466,2004-03-04T16:15:47Z,0.0,2014-07-06T07:36:57Z,56,5,46,94.0,7.0,36.0,51.0,139.0,9.0,43.0,87.0,0,504484,0.0
Point location,5.4401055409,2004-03-04T16:24:36Z,0,12204,74943,13,35,48,1895,2.46279709972,2.39560706541,2.32609990053,1.07701448724,0.908466579858,0.731977401301,2004-03-04T16:24:36Z,0.0,2014-01-25T21:48:26Z,32,3,48,47.0,13.0,12.0,22.0,83.0,14.0,17.0,52.0,0,504494,0.0
Polar sine,5.898,2008-04-24T19:15:59Z,0,3449,20518,1,9,10,500,1.14913098514,1.00849056616,0.866972375661,0.700685428455,0.52741804393,0.352881499566,2008-04-24T19:15:59Z,0.0,2012-12-05T19:03:12Z,24,2,38,7.0,1.0,1.0,5.0,25.0,1.0,1.0,23.0,0,17101042,2.0
Polygon,5.94705240175,2002-02-16T05:25:32Z,0,25454,6220559,404,395,799,3664,6.89024245366,7.15674180537,7.42924585938,10.7169672847,11.3238757476,11.9451265782,2001-09-14T23:59:17Z,0.0,2014-08-25T23:44:21Z,1167,8,250,775.0,48.0,390.0,337.0,1653.0,126.0,589.0,938.0,0,23621,4.0
Polygon triangulation,6.10248756219,2004-05-25T10:45:13Z,0,7138,231463,36,59,95,1005,3.11886169948,3.08898906223,3.05613991804,1.15678983275,1.01034343243,0.859738269355,2004-05-25T10:45:13Z,0.0,2014-06-26T12:21:08Z,77,1,49,93.0,14.0,35.0,44.0,168.0,17.0,54.0,97.0,0,679384,0.0
Polyhedron,6.10678414097,2002-02-12T10:21:09Z,0,40331,2169991,303,308,611,5675,6.3256425783,6.5434621647,6.76510948688,7.94829148799,8.0489302054,8.1056104973,2001-09-09T06:05:12Z,0.0,2014-08-05T23:49:08Z,1212,4,336,597.0,40.0,298.0,259.0,1477.0,79.0,471.0,927.0,0,23470,4.0
Polytope,6.27381426863,2001-09-07T19:49:27Z,0,18250,460900,35,120,155,2509,3.69858276099,3.71372699738,3.72708914801,4.54285787418,4.57998272032,4.59826458246,2001-09-07T19:49:27Z,0.0,2014-06-28T17:57:55Z,539,7,227,149.0,16.0,34.0,99.0,318.0,24.0,44.0,250.0,0,23471,3.0
Polytope compound,7.72870140612,2001-09-06T21:49:46Z,0,10553,892,13,44,57,1209,2.35056201927,2.28211516514,2.21221055835,1.13894790411,1.00385933183,0.866911257617,2001-09-06T21:49:46Z,0.0,2014-04-20T01:12:51Z,16,1,79,55.0,9.0,13.0,33.0,138.0,9.0,13.0,116.0,0,23901,2.0
Poncelet–Steiner theorem,6.16483516484,2004-05-13T21:52:20Z,0,1956,22860,4,26,30,273,2.33783642761,2.26173177361,2.18315143138,1.2456845725,1.10054586548,0.954398012254,2004-05-13T21:52:20Z,0.0,2014-06-23T06:26:36Z,17,6,15,30.0,7.0,4.0,19.0,47.0,7.0,4.0,36.0,0,652660,1.0
Pons asinorum,5.22669873722,2004-06-03T22:20:48Z,0,10355,175842,32,57,89,1663,2.31773871928,2.24506435916,2.17062816955,1.92235177383,1.87225290574,1.82928401046,2004-06-03T22:20:48Z,0.0,2014-08-27T19:07:51Z,56,6,43,87.0,8.0,31.0,48.0,142.0,8.0,37.0,97.0,0,702149,4.0
Power center (geometry),5.46972860125,2003-09-24T19:21:27Z,0,3099,17148,2,26,28,479,1.95106258616,1.8497769488,1.74596812576,0.750104431063,0.580146734137,0.409060448874,2003-09-24T19:21:27Z,0.0,2013-05-23T04:37:45Z,24,3,22,27.0,6.0,2.0,19.0,48.0,7.0,2.0,39.0,0,326298,2.0
Prismatoid,7.62640449438,2002-02-25T15:43:11Z,0,3071,80326,9,39,48,356,2.03138869256,1.94444519002,1.85632961802,1.17292883806,1.02355214767,0.868427625392,2002-02-25T15:43:11Z,0.0,2014-08-14T19:36:35Z,45,4,80,44.0,5.0,8.0,31.0,70.0,6.0,10.0,54.0,0,23917,1.0
Prism (geometry),6.43986543314,2003-07-28T23:55:24Z,0,8846,973044,112,145,257,1189,4.25326777622,4.32805344462,4.40498348325,3.76518582925,3.63893434405,3.47413821146,2003-07-28T23:55:24Z,0.0,2014-05-28T12:30:36Z,739,2,120,252.0,33.0,110.0,109.0,586.0,58.0,223.0,305.0,0,283007,2.0
Projective geometry,5.61288135593,2003-06-11T06:34:34Z,0,29262,544841,63,115,178,4425,4.54704882577,4.61348332465,4.67777904123,10.3754196316,10.8247306198,11.2545890734,2003-06-11T06:34:34Z,0.0,2014-07-25T16:31:58Z,470,3,217,173.0,28.0,62.0,83.0,373.0,37.0,94.0,242.0,0,243849,4.0
Projective line,5.62430167598,2003-12-12T11:02:55Z,0,9486,66400,4,37,41,1432,2.51894933172,2.45367828757,2.38584401086,2.11931229569,2.05493811518,1.98831828311,2003-12-12T11:02:55Z,0.0,2014-08-20T22:24:07Z,162,4,140,39.0,6.0,4.0,29.0,68.0,6.0,4.0,58.0,0,398578,2.0
Projective line over a ring,5.34678988327,2004-12-13T05:39:06Z,0,13049,6033,4,33,37,2056,2.33404478058,2.25807959214,2.17968947254,1.43992586527,1.33763847407,1.23527972028,2004-12-13T05:39:06Z,0.0,2014-06-17T22:34:37Z,28,3,94,37.0,11.0,4.0,22.0,154.0,11.0,4.0,139.0,0,1271901,2.0
Projective plane,4.91189427313,2001-10-11T13:33:07Z,0,37576,258115,45,91,136,6356,3.58862965368,3.59383854084,3.59690468758,6.60888804123,6.6683543846,6.69933157042,2001-10-11T13:33:07Z,0.0,2014-07-25T05:04:23Z,266,4,103,133.0,15.0,42.0,76.0,303.0,18.0,58.0,227.0,0,24350,3.0
Projective space,5.30943490167,2003-06-08T11:34:12Z,0,25345,276433,34,110,144,4017,3.75295453705,3.76677443273,3.77811770886,6.43164804205,6.52018375695,6.5810601227,2003-06-08T11:34:12Z,0.0,2014-08-19T02:24:06Z,380,3,175,141.0,15.0,33.0,93.0,295.0,19.0,57.0,219.0,0,242135,4.0
Prototile,6.04340277778,2002-02-16T17:36:21Z,0,4057,22819,2,19,21,576,1.79823930375,1.68941100128,1.57836871222,1.47524452768,1.32548180409,1.16368662566,2002-02-16T17:36:21Z,0.0,2014-05-15T06:58:06Z,187,3,196,20.0,4.0,2.0,14.0,32.0,5.0,6.0,21.0,0,39372,1.0
Pseudosphere,6.20777279522,2002-07-06T16:25:20Z,0,4822,174767,22,64,86,669,2.8227774892,2.77830287814,2.73149926215,1.20589544531,1.09670241363,0.989120919257,2002-07-06T16:25:20Z,0.0,2014-08-09T10:20:36Z,82,4,40,85.0,13.0,22.0,50.0,124.0,13.0,29.0,82.0,0,60766,2.0
Ptolemy's theorem,5.39657936932,2005-02-18T18:51:27Z,0,11968,237623,50,94,144,1871,3.35699575953,3.351357067,3.34412395023,1.54116470367,1.42776500434,1.31680886261,2005-02-18T18:51:27Z,0.0,2014-07-24T19:04:48Z,78,5,31,138.0,20.0,47.0,71.0,383.0,26.0,81.0,276.0,0,1521971,3.0
Pyramid (geometry),6.27227722772,2005-12-03T03:31:54Z,0,8814,1118861,137,142,279,1212,3.8066287525,3.84944607504,3.89380310662,5.2184863016,5.31995855272,5.40157966316,2005-12-03T03:31:54Z,0.0,2014-08-26T00:03:36Z,331,7,121,278.0,23.0,137.0,118.0,633.0,46.0,308.0,279.0,0,3307045,2.0
Pythagorean theorem,5.509009942,2002-02-16T00:29:17Z,0,62851,11003928,1218,947,2165,9656,9.65533684939,10.1851839572,10.7357250527,8.82829260081,9.23086423427,9.63912345469,2001-09-20T21:36:47Z,0.0,2014-08-16T18:11:29Z,1265,21,265,2156.0,67.0,1218.0,871.0,5496.0,273.0,1848.0,3375.0,0,26513034,5.0
Pythagorean triple,5.14452247191,2002-02-25T15:51:15Z,0,43749,1818928,412,331,743,7120,5.56601863354,5.73041662574,5.89795596898,2.40765907802,2.33044382185,2.24945275113,2001-09-26T22:24:21Z,0.0,2014-08-29T18:35:05Z,275,5,135,712.0,32.0,396.0,284.0,2011.0,77.0,807.0,1127.0,0,24172,4.0
Quadric,5.71560480148,2002-11-09T22:02:47Z,0,7273,298432,43,84,127,1083,3.26495361514,3.24979028665,3.23250796646,3.25822876766,3.19623178802,3.11896484345,2002-11-09T22:02:47Z,0.0,2014-08-27T04:33:11Z,120,5,65,122.0,11.0,42.0,69.0,185.0,11.0,55.0,119.0,0,145570,2.0
Quadrilateral,5.77016629437,2002-02-25T15:43:11Z,0,27277,3607158,445,319,764,4029,6.25129789114,6.48473203182,6.72556785867,7.24763981998,7.62687064707,8.03476851434,2001-10-13T21:46:45Z,0.0,2014-08-28T21:41:26Z,535,5,144,739.0,46.0,433.0,260.0,1400.0,110.0,618.0,672.0,0,25278,3.0
Quantum geometry,7.39104116223,2004-05-26T21:55:28Z,0,6931,40929,6,33,39,826,1.98782701045,1.88959855586,1.7889526207,0.660065968987,0.49504940398,0.330033071805,2004-05-26T21:55:28Z,0.0,2014-03-08T18:35:38Z,50,3,220,37.0,5.0,6.0,26.0,51.0,6.0,7.0,38.0,0,681895,2.0
Quasicrystal,6.49092386887,2002-02-05T20:20:26Z,0,27649,712793,111,200,311,3691,3.97118646652,4.00807801634,4.04390739277,2.17209709808,2.05720216036,1.92806497216,2002-01-17T11:34:39Z,0.0,2014-08-16T19:50:07Z,180,8,116,300.0,29.0,104.0,167.0,597.0,55.0,168.0,374.0,0,25350,4.0
Ray tracing (graphics),5.42835894893,2001-09-27T06:56:02Z,0,25932,1289250,224,249,473,4034,3.69951338507,3.72746237554,3.75571707264,2.11934116669,1.94418476894,1.73675850965,2001-09-27T06:56:02Z,0.0,2014-06-01T18:19:02Z,323,11,101,467.0,25.0,221.0,221.0,806.0,42.0,305.0,459.0,0,26000,4.0
Rectangle,6.11724137931,2002-08-10T00:22:59Z,0,12384,2197878,266,279,545,1740,5.68606890738,5.87225519121,6.06393814087,7.0066396147,7.29591026902,7.58615368977,2002-08-10T00:22:59Z,0.0,2014-08-31T14:20:15Z,693,3,102,531.0,47.0,259.0,225.0,1026.0,109.0,366.0,551.0,0,70048,3.0
Reflection (mathematics),5.46645021645,2003-08-13T20:54:36Z,0,5975,397532,57,99,156,924,3.91724472865,3.95160820335,3.98503988981,6.82288967073,7.04925507307,7.25911417976,2003-08-13T20:54:36Z,0.0,2014-08-30T01:07:16Z,227,4,58,153.0,18.0,54.0,81.0,263.0,27.0,80.0,156.0,0,295829,2.0
Regular polytope,5.70514631685,2004-03-11T01:54:24Z,0,33224,137082,46,129,175,4955,3.43135651201,3.43127339147,3.42972204089,2.87338113412,2.899145009,2.92861554772,2004-03-11T01:54:24Z,0.0,2014-07-21T19:54:30Z,420,5,202,174.0,10.0,46.0,118.0,489.0,11.0,69.0,409.0,0,518693,4.0
Regular Polytopes (book),6.37284894837,2006-12-27T16:43:37Z,0,3856,33557,3,16,19,523,1.61010213196,1.49464874994,1.37769477442,2.19505908899,2.1379282698,2.07972340286,2006-12-27T16:43:37Z,0.0,2014-03-06T22:48:49Z,213,2,27,17.0,4.0,2.0,11.0,21.0,4.0,2.0,15.0,0,8629753,0.0
Relative direction,5.63484848485,2002-02-25T15:51:15Z,0,8758,262097,78,172,250,1320,2.72394227795,2.68821814097,2.65258550644,0.848685740493,0.68677222589,0.523412891198,2002-02-25T15:51:15Z,0.0,2014-07-24T02:02:11Z,156,7,69,248.0,18.0,77.0,153.0,355.0,28.0,91.0,236.0,0,18183,0.0
